"file","row_number","title_item","link","status","success"
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1996-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1997-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1998-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1999-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2000-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2001-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2002-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2003-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2004-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2005-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2006-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2007-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2008-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2009-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2010-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2011-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2012-v2.0.8.nc?download=1","200",TRUE
